,Accuracy,ROC_AUC,Precision,Recall,F1_Score,MCC
LogisticRegression,0.7951219512195122,0.8787359604035789,0.7563025210084033,0.8737864077669902,0.8108108108108109,0.5972548367142131
DecisionTree,0.9853658536585366,0.9854368932038835,1.0,0.970873786407767,0.9852216748768473,0.9711511393019859
KNeighbors,0.8341463414634146,0.9485532076908434,0.8,0.8932038834951457,0.8440366972477065,0.6727269128324705
GaussianNB,0.8,0.8705501618122977,0.7540983606557377,0.8932038834951457,0.8177777777777778,0.6102237111863777
RandomForest,0.9853658536585366,1.0,1.0,0.970873786407767,0.9852216748768473,0.9711511393019859
XGBoost,0.9853658536585366,0.9894346087949742,1.0,0.970873786407767,0.9852216748768473,0.9711511393019859
